a,G,F_imp,u_imp,l,F,u,fracture_dissipation
0.000759765625,5.667308798974442e-14,2.769255245573832e-07,5.913726140607931e-14,218269695.99858975,60.44445005939003,1.2907872069294065e-05,0.00036386718749999993
0.0007612304687500001,5.761864816645234e-14,2.82791346014157e-07,5.973953357157666e-14,216471312.17541844,61.21621374353735,1.2931895220986661e-05,0.0003678222656250001
0.0007626953125,5.888833767577564e-14,2.7563155644417933e-07,6.038254325328701e-14,214124930.27475807,59.01958780513294,1.2929407863922645e-05,0.00037177734375000025
0.0007641601562500001,6.000005238427208e-14,2.783040081066039e-07,6.098560965499579e-14,212131941.75283986,59.03716963725197,1.2936995795094996e-05,0.00037573242187500047
0.000765625,6.119446639269774e-14,2.8098291556546575e-07,6.162858875919789e-14,210051509.08165234,59.02088544068858,1.2945178071442073e-05,0.0003796875000000002
0.0007670898437500001,6.259712522995044e-14,2.755909352181326e-07,6.231383843661002e-14,207684788.09015784,57.23604498034628,1.2941636330791684e-05,0.00038364257812500036
0.0007685546875,6.389574936756522e-14,2.7492963063846805e-07,6.299981518083976e-14,205563450.1094474,56.515483411359526,1.295045936483096e-05,0.0003875976562500001
0.0007700195312500001,6.529326821859767e-14,2.8022414111684586e-07,6.368248386689938e-14,203351639.55332658,56.98403853853336,1.2949937505162258e-05,0.0003915527343750003
0.000771484375,6.688046566980675e-14,2.800559320195751e-07,6.437714058716252e-14,200924195.42342177,56.27001281458963,1.293492517613614e-05,0.0003955078125
0.0007729492187500001,6.838653171221643e-14,2.844823637303201e-07,6.509781093155987e-14,198699416.95653445,56.52647980763136,1.293489707724766e-05,0.0003994628906250002
0.0007744140625,7.000100767027617e-14,2.800373898097641e-07,6.583636224431301e-14,196394687.63827226,54.99785569872571,1.2929911798211994e-05,0.0004034179687499999
0.0007758789062500001,7.190740384257505e-14,2.7279377751484625e-07,6.661206139699562e-14,193773809.55152997,52.86028949100426,1.2907672898976252e-05,0.0004073730468750001
0.00077734375,7.386533622484573e-14,2.787622611056163e-07,6.738362780758778e-14,191188401.69074616,53.29611115248124,1.2882968100656824e-05,0.0004113281250000003
0.0007788085937500001,7.58023882020592e-14,2.8168831189760414e-07,6.818173797009434e-14,188729781.79984102,53.16297364000039,1.286792452982984e-05,0.00041528320312500045
0.0007802734375,7.813165467338652e-14,2.7969179064179154e-07,6.898976847961339e-14,185895283.52321258,51.99338472047085,1.2824872571718527e-05,0.0004192382812500002
0.0007817382812500001,8.039931817513247e-14,2.7759138252280316e-07,6.986138547210502e-14,183254943.57452333,50.86999314099022,1.280244425272863e-05,0.00042319335937500034
0.000783203125,8.29008877608765e-14,2.753345137595948e-07,7.074520808340448e-14,180468866.84396592,49.68930770122842,1.2767307537452584e-05,0.0004271484375000001
