u,F,fracture_dissipation,l,a,Nl_Ntot
1.1643946076921216e-05,86.59079254714274,0.00015052942094582677,311690000.0,0.0006884460884542899,0.1440677966101695
1.1654388878641625e-05,86.45585638949709,0.00015174786090557668,311200000.0,0.0006888973625134565,0.14527845036319612
1.1663668030739277e-05,86.30513217234619,0.00015300977560896612,310640000.0,0.0006893647383295267,0.14648910411622276
1.167323258395632e-05,86.14550477110154,0.00015433612106198802,310060000.0,0.0006898559773862014,0.14769975786924938
1.168201911707059e-05,85.98556463690065,0.00015563182930158215,309470000.0,0.0006903358693267919,0.14891041162227603
1.1690125561938898e-05,85.82769450008696,0.0001568868815130373,308890000.0,0.0006908007034791827,0.15012106537530268
1.1699027422627262e-05,85.67676896382014,0.0001581357690331513,308340000.0,0.0006912632544125582,0.1513317191283293
1.1707933058407439e-05,85.52346991780587,0.00015939969658896946,307770000.0,0.0006917313757295279,0.15254237288135594
1.1717004968233922e-05,85.36708482602366,0.00016068895743791224,307200000.0,0.0006922088797476549,0.15375302663438256
1.1726081551688655e-05,85.20922088146834,0.00016198667507916453,306620000.0,0.0006926895159110817,0.1549636803874092
1.1733715634271732e-05,85.05088841472633,0.0001632255840236243,306040000.0,0.0006931483710756963,0.15617433414043583
1.1742114346364975e-05,84.89952061502316,0.0001644556250811029,305480000.0,0.0006936039418377254,0.15738498789346247
1.1750575129349443e-05,84.74827176725455,0.00016568811936043383,304930000.0,0.0006940604212004407,0.1585956416464891
1.176044791802019e-05,84.60083581326732,0.00016695839279998138,304390000.0,0.0006945308928447175,0.15980629539951574
1.17697788303105e-05,84.44258342485575,0.00016826850605736055,303810000.0,0.0006950161199770802,0.16101694915254236
1.1779143952411006e-05,84.29412251177392,0.00016952225556432921,303260000.0,0.0006954804716463278,0.162227602905569
1.1788232867305958e-05,84.14838673370022,0.0001707488875262293,302730000.0,0.0006959347797803649,0.16343825665859565
1.1798187069784643e-05,84.00621537723907,0.0001719908445340399,302210000.0,0.0006963947638573318,0.16464891041162227
1.1807492568723957e-05,83.85304272464109,0.00017327025673062103,301640000.0,0.0006968686202264359,0.16585956416464892
1.1816260959963787e-05,83.69467747387368,0.0001745579660676817,301060000.0,0.0006973455496105325,0.16707021791767554
1.182489544232458e-05,83.53546197087337,0.00017584528322151717,300480000.0,0.0006978223337415826,0.1682808716707022
1.1834004945569332e-05,83.38367943955683,0.0001771086887696498,299920000.0,0.0006982902617223725,0.1694915254237288
1.1843570483993292e-05,83.23539106106581,0.00017837099324200014,299380000.0,0.000698757781897317,0.17070217917675545
1.185339623552125e-05,83.08441115972181,0.0001796601902822521,298830000.0,0.0006992352622825956,0.17191283292978207
1.1862559086529737e-05,82.93101052407316,0.00018093655592025515,298260000.0,0.0006997079902966708,0.17312348668280872
1.1870921832375041e-05,82.77160981636051,0.0001822153234824271,297680000.0,0.00070018160791229,0.17433414043583534
1.1879801454329725e-05,82.6157706305144,0.00018349449448410614,297110000.0,0.0007006553749499489,0.17554479418886199
1.1888625776253444e-05,82.46296613908414,0.00018475321058750095,296550000.0,0.0007011215660993543,0.17675544794188863
1.1898019227269415e-05,82.31190773805214,0.0001860251723179387,296000000.0,0.0007015926630365535,0.17796610169491525
1.1907164930293021e-05,82.15631857468992,0.00018731387871006612,295430000.0,0.0007020699617003044,0.1791767554479419
1.1916082397902165e-05,82.00101243434176,0.00018859165349146667,294860000.0,0.0007025432116193417,0.18038740920096852
1.1924606345236808e-05,81.84109657024257,0.0001898802805997082,294280000.0,0.0007030204809186903,0.18159806295399517
1.1933733818261675e-05,81.68845368218525,0.00019115026896889532,293720000.0,0.0007034908469813523,0.18280871670702178
1.1942723624119566e-05,81.53554815916635,0.00019241660754740653,293160000.0,0.0007039598612696898,0.18401937046004843
1.1951625586278182e-05,81.37894936232374,0.0001937015739602117,292590000.0,0.0007044357747559139,0.18523002421307505
1.1960383539672038e-05,81.22267881518631,0.00019497889179713823,292010000.0,0.0007049088554362571,0.1864406779661017
1.1968687478880333e-05,81.06310301562704,0.00019625734287397512,291430000.0,0.0007053823558350855,0.18765133171912832
1.197748419920429e-05,80.90751086459467,0.00019753148932670774,290860000.0,0.0007058542619286902,0.18886198547215496
1.1986335368021563e-05,80.75437572317527,0.00019879335061398184,290300000.0,0.000706321617961014,0.1900726392251816
1.1995313151809921e-05,80.601566404271,0.00020005884173876498,289740000.0,0.0007067903183776003,0.19128329297820823
1.2004256503655171e-05,80.44496200594503,0.0002013456623287282,289170000.0,0.0007072669185961052,0.19249394673123488
