phi,G_star,G_c,G_star_cc,G_star_cp,G_star_pp
0.38397256,5316.9202846962235,14315.6328125,3756261632.0,0.0,0.0
0.40142593,5310.877513274357,13989.1376953125,3751992576.0,0.0,0.0
0.41887927,5303.259910681979,13651.44921875,3746610944.0,0.0,0.0
0.43633252,5294.066752192368,13302.9765625,3740116224.0,0.0,0.0
0.45378578,5283.309995796462,12944.14453125,3732516864.0,0.0,0.0
0.47123912,5270.9972511248625,12575.388671875,3723818240.0,0.0,0.0
0.48869237,5257.139389078421,12197.1611328125,3714028032.0,0.0,0.0
0.5061456,5241.7458311045475,11809.9228515625,3703152896.0,0.0,0.0
0.52359897,5224.827448104095,11414.140625,3691200512.0,0.0,0.0
0.5410522,5206.402358245157,11010.302734375,3678183680.0,0.0,0.0
0.5585056,5186.482881882034,10598.8955078125,3664111104.0,0.0,0.0
0.57595885,5165.0835135492,10180.42578125,3648993024.0,0.0,0.0
0.5934121,5142.220197234576,9755.4013671875,3632840704.0,0.0,0.0
0.6108654,5117.913587649784,9324.3369140625,3615668736.0,0.0,0.0
0.6283188,5092.1799911461085,8887.759765625,3597488640.0,0.0,0.0
0.6457719,5065.043686068792,8446.208984375,3578317568.0,0.0,0.0
0.6632253,5036.518079862221,8000.20849609375,3558164992.0,0.0,0.0
0.68067867,5006.632523958705,7550.31005859375,3537051648.0,0.0,0.0
0.6981319,4975.406585979782,7097.0634765625,3514991360.0,0.0,0.0
0.7155851,4942.862370090524,6641.01953125,3491999744.0,0.0,0.0
0.7330385,4909.025966452981,6182.72802734375,3468095232.0,0.0,0.0
0.75049174,4873.924914682655,5722.7548828125,3443297280.0,0.0,0.0
0.7679451,4837.580956581254,5261.65478515625,3417621248.0,0.0,0.0
0.7853985,4800.026704851342,4800.0078125,3391090176.0,0.0,0.0
0.8028516,4761.285350748078,5261.66455078125,3363720448.0,0.0,0.0
0.820305,4721.387695157216,5722.7646484375,3335533824.0,0.0,0.0
0.8377583,4680.36417660115,6182.7392578125,3306551808.0,0.0,0.0
0.85521156,4638.244146512188,6641.02685546875,3276795136.0,0.0,0.0
0.8726648,4595.057681049363,7097.072265625,3246285056.0,0.0,0.0
0.8901182,4550.8366681885145,7550.32177734375,3215044096.0,0.0,0.0
0.90757143,4505.610096998589,8000.2177734375,3183092736.0,0.0,0.0
0.9250248,4459.417102722666,8446.2177734375,3150458624.0,0.0,0.0
